playlist,track_id,track_name,artist,album,duration_ms,release_date,popularity
Mal🤍,7uuHrYna4GJlHIhHFllNAU,Kaarmukilil,Rahul Raj,Bachelor Party (Original Motion Picture Soundtrack),261043,2012-12-14,0
Mal🤍,6nbLOcHQ1ACZrTsRyAOi1U,"Uyiril Thodum (From ""Kumbalangi Nights"")",Sooraj Santhosh,"Uyiril Thodum (From ""Kumbalangi Nights"")",236013,2019-01-28,0
Mal🤍,7zxHiMmVLt4LGWpOMqOpUh,"Aethu Kari Raavilum - From ""Bangalore Days""",Haricharan,Bangalore Days,325156,2014-05-12,0
Mal🤍,7nHQjVpEncX7NEdA2G6kU1,Aaraadhike,Sooraj Santhosh,Ambili (Original Motion Picture Soundtrack),360938,2019-10-03,0
Mal🤍,3ISVxEn74F0nBrO7vEnou8,"Sthuthi (From ""Bougainvillea"")",Sushin Shyam,"Sthuthi (From ""Bougainvillea"")",179236,2024-09-26,0
Mal🤍,4NQgOwJmJOnKZjCWcOpNO8,KAAYI,BABY JEAN,KAAYI,188041,2024-01-02,0
Mal🤍,5sC8JC6dHcEifGMB8xPbbO,Kamini,K. S. Harisankar,Anugraheethan Antony,238819,2019-12-22,0
Mal🤍,5yAfCVJwa3r9wAQSOfawqm,"Minnalvala (From ""Narivetta"")",Jakes Bejoy,"Minnalvala (From ""Narivetta"")",299055,2025-04-16,0
Mal🤍,6kmll1rtA5R6T4t4cJiAZG,Velmuruka,M. G. Sreekumar,Evergreen M G Sreekumar,326000,2018-09-03,0
Mal🤍,3NncVbpKJ91HPpI5TUIugV,Chirapunji - From Saina Music Indie,Nihal Sadiq,Chirapunji (From Saina Music Indie),160000,2025-06-13,0
Mal🤍,2Psbt9MZfVJNuHXFgG7DHh,Etho Mazhayil,Vijay Yesudas,Vijay Superum Pournamiyum (Original Motion Picture Soundtrack),218610,2019-01-10,0
Mal🤍,3rZphn9fKKz4iFpeX08XUF,Attirambile Kombile,Ilaiyaraaja,Kaalapani (Original Motion Picture Soundtrack),344608,1996-04-01,0
